"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2022-04-01","46298.58833405536","864838911436.36","467380315332.2781"
"2022-03-31","45537.67","894326465846.4854","466853112484.60944"
"2022-03-30","47075.07893502994","901430933997.483","467143405483.768"
"2022-03-29","47449.78374090007","895440379622.8286","466747870544.76337"
"2022-03-28","47138.51218039279","889753105459.4185","465759486862.5202"
"2022-03-27","46842.63905822231","845939088226.9935","464501222640.3935"
"2022-03-26","44535.51077478116","842084530722.4127","463762114322.0423"
"2022-03-25","44329.92128566712","836022112681.8087","463609022486.1928"
"2022-03-24","44013.207614417566","814689317012.5284","461269055267.38855"
"2022-03-23","42899.62081072618","804744454420.705","460762838539.61755"
"2022-03-22","42379.863589968874","778858633238.6416","460437855465.8795"
"2022-03-21","41021.109948875026","783910726777.1256","459971583282.2712"
"2022-03-20","41275.41981259763","801701064847.8367","459891043975.03107"
"2022-03-19","42227.205980447165","793269562881.2831","459906609802.3817"
"2022-03-18","41775.232182868385","777462383481.9958","459717184269.5651"
"2022-03-17","40941.12350740129","780913157304.1189","459397726059.4642"
"2022-03-16","41131.44820344736","746055298821.5402","459732590260.0424"
"2022-03-15","39303.53847474247","753254461084.4081","459114858332.1309"
"2022-03-14","39677.17881861952","717298712579.0192","459248459412.29114"
"2022-03-13","37786.21011683803","736626761806.5494","459005831399.3549"
"2022-03-12","38806.981301796586","735213893425.3223","459084931766.82715"
"2022-03-11","38733.32931508335","748522465073.7814","459057920085.7659"
"2022-03-10","39439.80579087697","796278908912.357","459551898773.1941"
"2022-03-09","41957.16433036675","735292215157.0698","459138758826.42267"
"2022-03-08","38746.54612772212","721144797018.1166","458230385685.7541"
"2022-03-07","38001.05209145175","728975932612.826","458531623668.6457"
"2022-03-06","38418.00317690793","747721257459.7607","458776144865.3362"
"2022-03-05","39405.13029936343","742943180514.3472","458863074301.2794"
"2022-03-04","39155.57228378007","805716723788.4021","458842632278.1062"
"2022-03-03","42461.085343785024","833405363362.3728","459792093091.05585"
"2022-03-02","43920.41706239912","843182866831.1284","459565092844.53784"
"2022-03-01","44436.23988601215","819312413493.7704","459346749037.56134"
"2022-02-28","43192.80633667073","715446738338.3921","458676580888.8619"
"2022-02-27","37716.35255320594","742402655871.2627","456623515563.3879"
"2022-02-26","39134.03307960534","744419560387.7289","456877347647.06116"
"2022-02-25","39242.85668372231","727424029773.3964","457013320638.14417"
"2022-02-24","38354.77806497152","706952263476.0752","456978953985.74817"
"2022-02-23","37271.51012035594","725626400447.3799","456946138238.71277"
"2022-02-22","38256.5522600743","702333227662.78","457045957406.3779"
"2022-02-21","37033.98242645703","728292714598.4995","457041344492.9346"
"2022-02-20","38399.033716602586","760398197115.7701","457595753206.40393"
"2022-02-19","40098.18822590741","758383872337.7562","457859933439.1201"
"2022-02-18","39996.20898144621","768620230620.6128","457864946870.9678"
"2022-02-17","40544.62216353262","832265599293.0428","458137783766.7659"
"2022-02-16","43899.17505321976","845324265827.6658","458872002136.1832"
"2022-02-15","44574.61961470789","806744916359.3406","458711191382.16876"
"2022-02-14","42548.442116491555","797693045526.8314","458035349555.3828"
"2022-02-13","42075.715472990916","800665238248.6079","457954054959.74896"
"2022-02-12","42235.972537297384","803654831550.9921","457887624283.6534"
"2022-02-11","42395.74554152036","825146606290.77","457683419060.10254"
"2022-02-10","43530.952127896315","841841081473.9688","457567974926.14386"
"2022-02-09","44417.15509184096","835450382368.3896","457378654942.7488"
"2022-02-08","44080.88604780179","831290491389.2766","457037461962.3863"
"2022-02-07","43870.00033080891","803943552983.3031","456605954573.655"
"2022-02-06","42411.43792523726","785440095809.318","455859910680.4013"
"2022-02-05","41413.9459340775","787887350704.6453","455676331211.1859"
"2022-02-04","41603.027992946394","706501358705.8158","455466450517.6292"
